TripID,RouteID,StopID,StopName,WeekBeginning,NumberOfBoardings
30025,680,20105,Industrial Area,2013-08-18,30
30067,315,20077,Main Bus Stand,2013-07-28,12
30103,420,20024,Old Town Stop,2013-06-30,38
30092,315,20067,Central Station,2013-08-25,32
30142,315,20135,Central Station,2013-09-08,59
30023,680,20049,Market Road,2013-08-04,4
30072,315,20033,Mall Junction,2013-09-15,31
30089,210,20075,University Gate,2013-06-30,14
30110,680,20091,Old Town Stop,2013-08-18,6
30042,315,20068,Railway Crossing,2013-09-15,57
30136,680,20095,Main Bus Stand,2013-09-08,40
30068,550,20125,Mall Junction,2013-08-04,1
30127,680,20061,Old Town Stop,2013-07-07,43
30135,315,20094,Old Town Stop,2013-08-04,45
30000,550,20078,Old Town Stop,2013-09-01,57
30075,210,20108,Main Bus Stand,2013-07-28,16
30055,315,20076,Industrial Area,2013-07-07,54
30006,550,20144,Market Road,2013-09-01,37
30019,680,20113,Main Bus Stand,2013-08-11,45
30044,210,20122,Mall Junction,2013-09-08,14
30069,550,20124,Railway Crossing,2013-08-04,33
30056,315,20097,University Gate,2013-08-11,53
30112,680,20008,Railway Crossing,2013-09-15,56
30034,680,20094,Market Road,2013-08-25,59
30056,680,20097,Mall Junction,2013-08-04,33
30038,420,20034,Main Bus Stand,2013-09-01,55
30004,315,20012,University Gate,2013-07-28,12
30137,550,20004,Market Road,2013-08-11,44
30087,550,20044,Railway Crossing,2013-06-30,2
30072,420,20055,Old Town Stop,2013-08-11,33
30083,680,20020,Hospital Stop,2013-07-14,40
30001,210,20043,Railway Crossing,2013-09-08,7
30144,550,20018,Industrial Area,2013-07-21,49
30118,210,20149,Railway Crossing,2013-07-07,4
30093,315,20121,Market Road,2013-08-11,39
30092,210,20018,Central Station,2013-08-18,56
30071,680,20103,Old Town Stop,2013-06-30,31
30023,550,20005,University Gate,2013-06-30,5
30010,315,20133,Market Road,2013-07-28,28
30035,420,20070,Market Road,2013-08-18,41
30061,210,20144,Main Bus Stand,2013-06-30,31
30135,420,20068,University Gate,2013-07-14,27
30092,210,20102,Main Bus Stand,2013-09-01,47
30149,420,20140,Industrial Area,2013-08-11,56
30100,315,20054,Hospital Stop,2013-07-07,42
30067,315,20088,Central Station,2013-07-14,55
30123,550,20091,Market Road,2013-07-14,52
30019,315,20016,Hospital Stop,2013-08-25,27
30004,210,20124,Industrial Area,2013-09-01,28
30019,210,20133,Industrial Area,2013-09-08,26
30033,315,20104,Main Bus Stand,2013-08-18,3
30123,315,20093,Central Station,2013-07-14,22
30030,315,20073,Main Bus Stand,2013-07-28,45
30073,550,20039,City Square,2013-08-18,21
30127,420,20130,Hospital Stop,2013-08-18,11
30130,210,20037,Main Bus Stand,2013-09-15,50
30083,420,20086,Old Town Stop,2013-09-01,34
30146,420,20046,Central Station,2013-07-07,38
30021,680,20009,City Square,2013-06-30,45
30119,420,20015,Central Station,2013-07-07,50
30067,550,20148,Mall Junction,2013-08-25,19
30047,680,20099,Market Road,2013-08-18,46
30016,210,20149,Central Station,2013-09-08,18
30012,315,20128,Market Road,2013-07-28,56
30093,680,20033,Main Bus Stand,2013-09-08,47
30107,315,20021,Main Bus Stand,2013-08-11,18
30137,680,20066,City Square,2013-09-15,35
30076,550,20011,Central Station,2013-07-07,9
30067,420,20047,Central Station,2013-07-28,55
30110,680,20139,Market Road,2013-08-25,14
30142,315,20036,University Gate,2013-08-18,48
30124,210,20053,Hospital Stop,2013-07-21,6
30020,420,20007,Mall Junction,2013-09-15,23
30053,680,20149,Old Town Stop,2013-07-21,41
30143,210,20126,University Gate,2013-08-11,52
30059,210,20019,Railway Crossing,2013-07-28,19
30035,680,20086,Mall Junction,2013-09-01,2
30048,315,20045,Industrial Area,2013-08-04,46
30004,210,20126,Mall Junction,2013-08-18,54
30043,420,20081,Hospital Stop,2013-09-01,33
30054,210,20033,University Gate,2013-09-08,53
30043,550,20008,Industrial Area,2013-09-01,52
30039,210,20116,Railway Crossing,2013-08-18,8
30131,315,20018,Mall Junction,2013-08-11,5
30140,550,20081,Main Bus Stand,2013-09-01,30
30079,420,20103,Market Road,2013-08-25,13
30029,210,20128,Hospital Stop,2013-09-15,37
30136,210,20072,Old Town Stop,2013-08-25,1
30054,680,20141,Mall Junction,2013-08-11,38
30117,680,20012,Industrial Area,2013-09-15,3
30149,550,20124,Mall Junction,2013-07-14,48
30044,315,20096,City Square,2013-07-14,22
30135,420,20081,Central Station,2013-07-14,23
30100,680,20129,Hospital Stop,2013-09-15,10
30029,210,20037,Mall Junction,2013-08-04,31
30026,680,20037,Industrial Area,2013-07-07,23
30064,420,20091,Railway Crossing,2013-07-28,56
30012,420,20043,Main Bus Stand,2013-07-07,54
30134,210,20084,University Gate,2013-07-28,24
30106,550,20111,Central Station,2013-09-01,44
